name,url
spearow,https://pokeapi.co/api/v2/pokemon/21/
fearow,https://pokeapi.co/api/v2/pokemon/22/
ekans,https://pokeapi.co/api/v2/pokemon/23/
arbok,https://pokeapi.co/api/v2/pokemon/24/
pikachu,https://pokeapi.co/api/v2/pokemon/25/
raichu,https://pokeapi.co/api/v2/pokemon/26/
sandshrew,https://pokeapi.co/api/v2/pokemon/27/
sandslash,https://pokeapi.co/api/v2/pokemon/28/
nidoran-f,https://pokeapi.co/api/v2/pokemon/29/
nidorina,https://pokeapi.co/api/v2/pokemon/30/
nidoqueen,https://pokeapi.co/api/v2/pokemon/31/
nidoran-m,https://pokeapi.co/api/v2/pokemon/32/
nidorino,https://pokeapi.co/api/v2/pokemon/33/
nidoking,https://pokeapi.co/api/v2/pokemon/34/
clefairy,https://pokeapi.co/api/v2/pokemon/35/
clefable,https://pokeapi.co/api/v2/pokemon/36/
vulpix,https://pokeapi.co/api/v2/pokemon/37/
ninetales,https://pokeapi.co/api/v2/pokemon/38/
jigglypuff,https://pokeapi.co/api/v2/pokemon/39/
wigglytuff,https://pokeapi.co/api/v2/pokemon/40/
zubat,https://pokeapi.co/api/v2/pokemon/41/
golbat,https://pokeapi.co/api/v2/pokemon/42/
oddish,https://pokeapi.co/api/v2/pokemon/43/
gloom,https://pokeapi.co/api/v2/pokemon/44/
vileplume,https://pokeapi.co/api/v2/pokemon/45/
paras,https://pokeapi.co/api/v2/pokemon/46/
parasect,https://pokeapi.co/api/v2/pokemon/47/
venonat,https://pokeapi.co/api/v2/pokemon/48/
venomoth,https://pokeapi.co/api/v2/pokemon/49/
diglett,https://pokeapi.co/api/v2/pokemon/50/
dugtrio,https://pokeapi.co/api/v2/pokemon/51/
meowth,https://pokeapi.co/api/v2/pokemon/52/
persian,https://pokeapi.co/api/v2/pokemon/53/
psyduck,https://pokeapi.co/api/v2/pokemon/54/
golduck,https://pokeapi.co/api/v2/pokemon/55/
mankey,https://pokeapi.co/api/v2/pokemon/56/
primeape,https://pokeapi.co/api/v2/pokemon/57/
growlithe,https://pokeapi.co/api/v2/pokemon/58/
arcanine,https://pokeapi.co/api/v2/pokemon/59/
poliwag,https://pokeapi.co/api/v2/pokemon/60/
poliwhirl,https://pokeapi.co/api/v2/pokemon/61/
poliwrath,https://pokeapi.co/api/v2/pokemon/62/
abra,https://pokeapi.co/api/v2/pokemon/63/
kadabra,https://pokeapi.co/api/v2/pokemon/64/
alakazam,https://pokeapi.co/api/v2/pokemon/65/
machop,https://pokeapi.co/api/v2/pokemon/66/
machoke,https://pokeapi.co/api/v2/pokemon/67/
machamp,https://pokeapi.co/api/v2/pokemon/68/
bellsprout,https://pokeapi.co/api/v2/pokemon/69/
weepinbell,https://pokeapi.co/api/v2/pokemon/70/
victreebel,https://pokeapi.co/api/v2/pokemon/71/
tentacool,https://pokeapi.co/api/v2/pokemon/72/
tentacruel,https://pokeapi.co/api/v2/pokemon/73/
geodude,https://pokeapi.co/api/v2/pokemon/74/
graveler,https://pokeapi.co/api/v2/pokemon/75/
golem,https://pokeapi.co/api/v2/pokemon/76/
ponyta,https://pokeapi.co/api/v2/pokemon/77/
rapidash,https://pokeapi.co/api/v2/pokemon/78/
slowpoke,https://pokeapi.co/api/v2/pokemon/79/
slowbro,https://pokeapi.co/api/v2/pokemon/80/
magnemite,https://pokeapi.co/api/v2/pokemon/81/
magneton,https://pokeapi.co/api/v2/pokemon/82/
farfetchd,https://pokeapi.co/api/v2/pokemon/83/
doduo,https://pokeapi.co/api/v2/pokemon/84/
dodrio,https://pokeapi.co/api/v2/pokemon/85/
seel,https://pokeapi.co/api/v2/pokemon/86/
dewgong,https://pokeapi.co/api/v2/pokemon/87/
grimer,https://pokeapi.co/api/v2/pokemon/88/
muk,https://pokeapi.co/api/v2/pokemon/89/
shellder,https://pokeapi.co/api/v2/pokemon/90/
cloyster,https://pokeapi.co/api/v2/pokemon/91/
gastly,https://pokeapi.co/api/v2/pokemon/92/
haunter,https://pokeapi.co/api/v2/pokemon/93/
gengar,https://pokeapi.co/api/v2/pokemon/94/
onix,https://pokeapi.co/api/v2/pokemon/95/
drowzee,https://pokeapi.co/api/v2/pokemon/96/
hypno,https://pokeapi.co/api/v2/pokemon/97/
krabby,https://pokeapi.co/api/v2/pokemon/98/
kingler,https://pokeapi.co/api/v2/pokemon/99/
voltorb,https://pokeapi.co/api/v2/pokemon/100/
electrode,https://pokeapi.co/api/v2/pokemon/101/
exeggcute,https://pokeapi.co/api/v2/pokemon/102/
exeggutor,https://pokeapi.co/api/v2/pokemon/103/
cubone,https://pokeapi.co/api/v2/pokemon/104/
marowak,https://pokeapi.co/api/v2/pokemon/105/
hitmonlee,https://pokeapi.co/api/v2/pokemon/106/
hitmonchan,https://pokeapi.co/api/v2/pokemon/107/
lickitung,https://pokeapi.co/api/v2/pokemon/108/
koffing,https://pokeapi.co/api/v2/pokemon/109/
weezing,https://pokeapi.co/api/v2/pokemon/110/
rhyhorn,https://pokeapi.co/api/v2/pokemon/111/
rhydon,https://pokeapi.co/api/v2/pokemon/112/
chansey,https://pokeapi.co/api/v2/pokemon/113/
tangela,https://pokeapi.co/api/v2/pokemon/114/
kangaskhan,https://pokeapi.co/api/v2/pokemon/115/
horsea,https://pokeapi.co/api/v2/pokemon/116/
seadra,https://pokeapi.co/api/v2/pokemon/117/
goldeen,https://pokeapi.co/api/v2/pokemon/118/
seaking,https://pokeapi.co/api/v2/pokemon/119/
staryu,https://pokeapi.co/api/v2/pokemon/120/
starmie,https://pokeapi.co/api/v2/pokemon/121/
mr-mime,https://pokeapi.co/api/v2/pokemon/122/
scyther,https://pokeapi.co/api/v2/pokemon/123/
jynx,https://pokeapi.co/api/v2/pokemon/124/
electabuzz,https://pokeapi.co/api/v2/pokemon/125/
magmar,https://pokeapi.co/api/v2/pokemon/126/
pinsir,https://pokeapi.co/api/v2/pokemon/127/
tauros,https://pokeapi.co/api/v2/pokemon/128/
magikarp,https://pokeapi.co/api/v2/pokemon/129/
gyarados,https://pokeapi.co/api/v2/pokemon/130/
lapras,https://pokeapi.co/api/v2/pokemon/131/
ditto,https://pokeapi.co/api/v2/pokemon/132/
eevee,https://pokeapi.co/api/v2/pokemon/133/
vaporeon,https://pokeapi.co/api/v2/pokemon/134/
jolteon,https://pokeapi.co/api/v2/pokemon/135/
flareon,https://pokeapi.co/api/v2/pokemon/136/
porygon,https://pokeapi.co/api/v2/pokemon/137/
omanyte,https://pokeapi.co/api/v2/pokemon/138/
omastar,https://pokeapi.co/api/v2/pokemon/139/
kabuto,https://pokeapi.co/api/v2/pokemon/140/
kabutops,https://pokeapi.co/api/v2/pokemon/141/
aerodactyl,https://pokeapi.co/api/v2/pokemon/142/
snorlax,https://pokeapi.co/api/v2/pokemon/143/
articuno,https://pokeapi.co/api/v2/pokemon/144/
zapdos,https://pokeapi.co/api/v2/pokemon/145/
moltres,https://pokeapi.co/api/v2/pokemon/146/
dratini,https://pokeapi.co/api/v2/pokemon/147/
dragonair,https://pokeapi.co/api/v2/pokemon/148/
dragonite,https://pokeapi.co/api/v2/pokemon/149/
mewtwo,https://pokeapi.co/api/v2/pokemon/150/
mew,https://pokeapi.co/api/v2/pokemon/151/
chikorita,https://pokeapi.co/api/v2/pokemon/152/
bayleef,https://pokeapi.co/api/v2/pokemon/153/
meganium,https://pokeapi.co/api/v2/pokemon/154/
cyndaquil,https://pokeapi.co/api/v2/pokemon/155/
quilava,https://pokeapi.co/api/v2/pokemon/156/
typhlosion,https://pokeapi.co/api/v2/pokemon/157/
totodile,https://pokeapi.co/api/v2/pokemon/158/
croconaw,https://pokeapi.co/api/v2/pokemon/159/
feraligatr,https://pokeapi.co/api/v2/pokemon/160/
sentret,https://pokeapi.co/api/v2/pokemon/161/
furret,https://pokeapi.co/api/v2/pokemon/162/
hoothoot,https://pokeapi.co/api/v2/pokemon/163/
noctowl,https://pokeapi.co/api/v2/pokemon/164/
ledyba,https://pokeapi.co/api/v2/pokemon/165/
ledian,https://pokeapi.co/api/v2/pokemon/166/
spinarak,https://pokeapi.co/api/v2/pokemon/167/
ariados,https://pokeapi.co/api/v2/pokemon/168/
crobat,https://pokeapi.co/api/v2/pokemon/169/
chinchou,https://pokeapi.co/api/v2/pokemon/170/
lanturn,https://pokeapi.co/api/v2/pokemon/171/
pichu,https://pokeapi.co/api/v2/pokemon/172/
cleffa,https://pokeapi.co/api/v2/pokemon/173/
igglybuff,https://pokeapi.co/api/v2/pokemon/174/
togepi,https://pokeapi.co/api/v2/pokemon/175/
togetic,https://pokeapi.co/api/v2/pokemon/176/
natu,https://pokeapi.co/api/v2/pokemon/177/
xatu,https://pokeapi.co/api/v2/pokemon/178/
mareep,https://pokeapi.co/api/v2/pokemon/179/
flaaffy,https://pokeapi.co/api/v2/pokemon/180/
ampharos,https://pokeapi.co/api/v2/pokemon/181/
bellossom,https://pokeapi.co/api/v2/pokemon/182/
marill,https://pokeapi.co/api/v2/pokemon/183/
azumarill,https://pokeapi.co/api/v2/pokemon/184/
sudowoodo,https://pokeapi.co/api/v2/pokemon/185/
politoed,https://pokeapi.co/api/v2/pokemon/186/
hoppip,https://pokeapi.co/api/v2/pokemon/187/
skiploom,https://pokeapi.co/api/v2/pokemon/188/
jumpluff,https://pokeapi.co/api/v2/pokemon/189/
aipom,https://pokeapi.co/api/v2/pokemon/190/
sunkern,https://pokeapi.co/api/v2/pokemon/191/
sunflora,https://pokeapi.co/api/v2/pokemon/192/
yanma,https://pokeapi.co/api/v2/pokemon/193/
wooper,https://pokeapi.co/api/v2/pokemon/194/
quagsire,https://pokeapi.co/api/v2/pokemon/195/
espeon,https://pokeapi.co/api/v2/pokemon/196/
umbreon,https://pokeapi.co/api/v2/pokemon/197/
murkrow,https://pokeapi.co/api/v2/pokemon/198/
slowking,https://pokeapi.co/api/v2/pokemon/199/
misdreavus,https://pokeapi.co/api/v2/pokemon/200/
unown,https://pokeapi.co/api/v2/pokemon/201/
wobbuffet,https://pokeapi.co/api/v2/pokemon/202/
girafarig,https://pokeapi.co/api/v2/pokemon/203/
pineco,https://pokeapi.co/api/v2/pokemon/204/
forretress,https://pokeapi.co/api/v2/pokemon/205/
dunsparce,https://pokeapi.co/api/v2/pokemon/206/
gligar,https://pokeapi.co/api/v2/pokemon/207/
steelix,https://pokeapi.co/api/v2/pokemon/208/
snubbull,https://pokeapi.co/api/v2/pokemon/209/
granbull,https://pokeapi.co/api/v2/pokemon/210/
qwilfish,https://pokeapi.co/api/v2/pokemon/211/
scizor,https://pokeapi.co/api/v2/pokemon/212/
shuckle,https://pokeapi.co/api/v2/pokemon/213/
heracross,https://pokeapi.co/api/v2/pokemon/214/
sneasel,https://pokeapi.co/api/v2/pokemon/215/
teddiursa,https://pokeapi.co/api/v2/pokemon/216/
ursaring,https://pokeapi.co/api/v2/pokemon/217/
slugma,https://pokeapi.co/api/v2/pokemon/218/
magcargo,https://pokeapi.co/api/v2/pokemon/219/
swinub,https://pokeapi.co/api/v2/pokemon/220/
