indice_tiempo,region_destino,turistas
2012-01-01,CABA,189534
2012-01-01,Córdoba,1918573
2012-01-01,Cuyo,838633
2012-01-01,Litoral,2049231
2012-01-01,Norte,1331848
2012-01-01,Patagonia,937769
2012-01-01,PBA - Partidos del GBA,132610
2012-01-01,PBA - Resto,5075668
2012-04-01,CABA,275725
2012-04-01,Córdoba,743680
2012-04-01,Cuyo,362199
2012-04-01,Litoral,1502444
2012-04-01,Norte,813177
2012-04-01,Patagonia,263315
2012-04-01,PBA - Partidos del GBA,61388
2012-04-01,PBA - Resto,1402536
2012-07-01,CABA,360368
2012-07-01,Córdoba,596352
2012-07-01,Cuyo,475912
2012-07-01,Litoral,1107905
2012-07-01,Norte,896399
2012-07-01,Patagonia,444811
2012-07-01,PBA - Partidos del GBA,101282
2012-07-01,PBA - Resto,1501835
2012-10-01,CABA,189002
2012-10-01,Córdoba,1007641
2012-10-01,Cuyo,512563
2012-10-01,Litoral,1018847
2012-10-01,Norte,979211
2012-10-01,Patagonia,379846
2012-10-01,PBA - Partidos del GBA,98255
2012-10-01,PBA - Resto,1762021
2013-01-01,CABA,165441
2013-01-01,Córdoba,1893574
2013-01-01,Cuyo,824501
2013-01-01,Litoral,1715615
2013-01-01,Norte,1161820
2013-01-01,Patagonia,707719
2013-01-01,PBA - Partidos del GBA,167877
2013-01-01,PBA - Resto,4632993
2013-04-01,CABA,239649
2013-04-01,Córdoba,882575
2013-04-01,Cuyo,521508
2013-04-01,Litoral,1091363
2013-04-01,Norte,936854
2013-04-01,Patagonia,402021
2013-04-01,PBA - Partidos del GBA,63118
2013-04-01,PBA - Resto,1535179
2013-07-01,CABA,315882
2013-07-01,Córdoba,788240
2013-07-01,Cuyo,774152
2013-07-01,Litoral,1338607
2013-07-01,Norte,1209881
2013-07-01,Patagonia,529787
2013-07-01,PBA - Partidos del GBA,72473
2013-07-01,PBA - Resto,1564734
2013-10-01,CABA,372960
2013-10-01,Córdoba,882733
2013-10-01,Cuyo,251513
2013-10-01,Litoral,1485133
2013-10-01,Norte,730048
2013-10-01,Patagonia,495526
2013-10-01,PBA - Partidos del GBA,146755
2013-10-01,PBA - Resto,2342592
2014-01-01,CABA,233497
2014-01-01,Córdoba,1743367
2014-01-01,Cuyo,692755
2014-01-01,Litoral,1986193
2014-01-01,Norte,948347
2014-01-01,Patagonia,932115
2014-01-01,PBA - Partidos del GBA,91212
2014-01-01,PBA - Resto,5025128
2014-04-01,CABA,185194
2014-04-01,Córdoba,803719
2014-04-01,Cuyo,400685
2014-04-01,Litoral,1144188
2014-04-01,Norte,759658
2014-04-01,Patagonia,294178
2014-04-01,PBA - Partidos del GBA,32399
2014-04-01,PBA - Resto,1848024
2014-07-01,CABA,315793
2014-07-01,Córdoba,676821
2014-07-01,Cuyo,752206
2014-07-01,Litoral,1383118
2014-07-01,Norte,775938
2014-07-01,Patagonia,434595
2014-07-01,PBA - Partidos del GBA,235523
2014-07-01,PBA - Resto,1680626
2014-10-01,CABA,199086
2014-10-01,Córdoba,617032
2014-10-01,Cuyo,536263
2014-10-01,Litoral,1163994
2014-10-01,Norte,782700
2014-10-01,Patagonia,321574
2014-10-01,PBA - Partidos del GBA,71156
2014-10-01,PBA - Resto,1856481
2015-01-01,CABA,164361
2015-01-01,Córdoba,1636476
2015-01-01,Cuyo,692409
2015-01-01,Litoral,1904634
2015-01-01,Norte,1031073
2015-01-01,Patagonia,997349
2015-01-01,PBA - Partidos del GBA,164906
2015-01-01,PBA - Resto,5081268
2015-04-01,CABA,185081
2015-04-01,Córdoba,701578
2015-04-01,Cuyo,402669
2015-04-01,Litoral,1011778
2015-04-01,Norte,526320
2015-04-01,Patagonia,299914
2015-04-01,PBA - Partidos del GBA,210566
2015-04-01,PBA - Resto,1392767
2015-07-01,CABA,287670
2015-07-01,Córdoba,801299
2015-07-01,Cuyo,494482
2015-07-01,Litoral,1040522
2015-07-01,Norte,830736
2015-07-01,Patagonia,639965
2015-07-01,PBA - Partidos del GBA,84531
2015-07-01,PBA - Resto,1426963
2015-10-01,CABA,234723
2015-10-01,Córdoba,863559
2015-10-01,Cuyo,315423
2015-10-01,Litoral,985756
2015-10-01,Norte,759252
2015-10-01,Patagonia,329858
2015-10-01,PBA - Partidos del GBA,91730
2015-10-01,PBA - Resto,1583176
2016-01-01,CABA,172508
2016-01-01,Córdoba,1299888
2016-01-01,Cuyo,518540
2016-01-01,Litoral,1397842
2016-01-01,Norte,977694
2016-01-01,Patagonia,853651
2016-01-01,PBA - Partidos del GBA,78324
2016-01-01,PBA - Resto,4502240
2016-04-01,CABA,168674
2016-04-01,Córdoba,322509
2016-04-01,Cuyo,297625
2016-04-01,Litoral,875578
2016-04-01,Norte,567265
2016-04-01,Patagonia,207626
2016-04-01,PBA - Partidos del GBA,82047
2016-04-01,PBA - Resto,670431
2016-07-01,CABA,357969
2016-07-01,Córdoba,640269
2016-07-01,Cuyo,577067
2016-07-01,Litoral,1506661
2016-07-01,Norte,801997
2016-07-01,Patagonia,525165
2016-07-01,PBA - Partidos del GBA,329918
2016-07-01,PBA - Resto,1744657
2016-10-01,CABA,200817
2016-10-01,Córdoba,614088
2016-10-01,Cuyo,323425
2016-10-01,Litoral,1424931
2016-10-01,Norte,916608
2016-10-01,Patagonia,486664
2016-10-01,PBA - Partidos del GBA,142520
2016-10-01,PBA - Resto,1979707
2017-01-01,CABA,214211
2017-01-01,Córdoba,1445954
2017-01-01,Cuyo,618721
2017-01-01,Litoral,1649133
2017-01-01,Norte,1082875
2017-01-01,Patagonia,1023125
2017-01-01,PBA - Partidos del GBA,86330
2017-01-01,PBA - Resto,4236701
2017-04-01,CABA,234527
2017-04-01,Córdoba,634095
2017-04-01,Cuyo,317886
2017-04-01,Litoral,912236
2017-04-01,Norte,715345
2017-04-01,Patagonia,241907
2017-04-01,PBA - Partidos del GBA,80052
2017-04-01,PBA - Resto,1490146
2017-07-01,CABA,403398
2017-07-01,Córdoba,969728
2017-07-01,Cuyo,695508
2017-07-01,Litoral,1442468
2017-07-01,Norte,1285930
2017-07-01,Patagonia,585282
2017-07-01,PBA - Partidos del GBA,83401
2017-07-01,PBA - Resto,2938119
2017-10-01,CABA,326913
2017-10-01,Córdoba,916685
2017-10-01,Cuyo,589101
2017-10-01,Litoral,1284935
2017-10-01,Norte,1027948
2017-10-01,Patagonia,437613
2017-10-01,PBA - Partidos del GBA,124688
2017-10-01,PBA - Resto,2279924
2018-01-01,CABA,170119
2018-01-01,Córdoba,1488301
2018-01-01,Cuyo,877251
2018-01-01,Litoral,1599712
2018-01-01,Norte,1173066
2018-01-01,Patagonia,804514
2018-01-01,PBA - Partidos del GBA,178335
2018-01-01,PBA - Resto,5130067
2018-04-01,CABA,209777
2018-04-01,Córdoba,573476
2018-04-01,Cuyo,264849
2018-04-01,Litoral,821553
2018-04-01,Norte,704853
2018-04-01,Patagonia,332018
2018-04-01,PBA - Partidos del GBA,32215
2018-04-01,PBA - Resto,1264252
2018-07-01,CABA,216928
2018-07-01,Córdoba,787080
2018-07-01,Cuyo,386646
2018-07-01,Litoral,999356
2018-07-01,Norte,1081864
2018-07-01,Patagonia,603284
2018-07-01,PBA - Partidos del GBA,141941
2018-07-01,PBA - Resto,1276127
2018-10-01,CABA,233936
2018-10-01,Córdoba,821932
2018-10-01,Cuyo,448884
2018-10-01,Litoral,1178909
2018-10-01,Norte,518906
2018-10-01,Patagonia,486501
2018-10-01,PBA - Partidos del GBA,299881
2018-10-01,PBA - Resto,2415877
2019-01-01,CABA,185960
2019-01-01,Córdoba,1350002
2019-01-01,Cuyo,628543
2019-01-01,Litoral,1472764
2019-01-01,Norte,841424
2019-01-01,Patagonia,645507
2019-01-01,PBA - Partidos del GBA,130062
2019-01-01,PBA - Resto,4706469
2019-04-01,CABA,203444
2019-04-01,Córdoba,432077
2019-04-01,Cuyo,364259
2019-04-01,Litoral,814353
2019-04-01,Norte,561040
2019-04-01,Patagonia,340992
2019-04-01,PBA - Partidos del GBA,106232
2019-04-01,PBA - Resto,1453913
2019-07-01,CABA,175428
2019-07-01,Córdoba,851657
2019-07-01,Cuyo,436630
2019-07-01,Litoral,1184725
2019-07-01,Norte,790649
2019-07-01,Patagonia,733276
2019-07-01,PBA - Partidos del GBA,204177
2019-07-01,PBA - Resto,1722722
2019-10-01,CABA,159136
2019-10-01,Córdoba,908753
2019-10-01,Cuyo,692954
2019-10-01,Litoral,1012127
2019-10-01,Norte,700304
2019-10-01,Patagonia,446398
2019-10-01,PBA - Partidos del GBA,165567
2019-10-01,PBA - Resto,2335172
2020-01-01,CABA,192768
2020-01-01,Córdoba,1232281
2020-01-01,Cuyo,660540
2020-01-01,Litoral,1177247
2020-01-01,Norte,784482
2020-01-01,Patagonia,648003
2020-01-01,PBA - Partidos del GBA,140415
2020-01-01,PBA - Resto,3955335
2020-04-01,CABA,16266
2020-04-01,Córdoba,23827
2020-04-01,Cuyo,11365
2020-04-01,Litoral,23832
2020-04-01,Norte,65432
2020-04-01,Patagonia,3349
2020-04-01,PBA - Partidos del GBA,882
2020-04-01,PBA - Resto,29910
2020-07-01,CABA,14280
2020-07-01,Córdoba,28002
2020-07-01,Cuyo,53301
2020-07-01,Litoral,133019
2020-07-01,Norte,95311
2020-07-01,Patagonia,19230
2020-07-01,PBA - Partidos del GBA,48442
2020-07-01,PBA - Resto,268778
2020-10-01,CABA,42751
2020-10-01,Córdoba,343394
2020-10-01,Cuyo,117930
2020-10-01,Litoral,493984
2020-10-01,Norte,219722
2020-10-01,Patagonia,191778
2020-10-01,PBA - Partidos del GBA,89947
2020-10-01,PBA - Resto,1172936
2021-01-01,CABA,79967
2021-01-01,Córdoba,906967
2021-01-01,Cuyo,403674
2021-01-01,Litoral,918196
2021-01-01,Norte,525546
2021-01-01,Patagonia,502489
2021-01-01,PBA - Partidos del GBA,65116
2021-01-01,PBA - Resto,2828646
2021-04-01,CABA,18650
2021-04-01,Córdoba,247657
2021-04-01,Cuyo,183620
2021-04-01,Litoral,595290
2021-04-01,Norte,287839
2021-04-01,Patagonia,216283
2021-04-01,PBA - Partidos del GBA,79956
2021-04-01,PBA - Resto,619698
2021-07-01,CABA,222240
2021-07-01,Córdoba,417278
2021-07-01,Cuyo,281440
2021-07-01,Litoral,781975
2021-07-01,Norte,541066
2021-07-01,Patagonia,425558
2021-07-01,PBA - Partidos del GBA,77174
2021-07-01,PBA - Resto,1339888
2021-10-01,CABA,99048
2021-10-01,Córdoba,671140
2021-10-01,Cuyo,462831
2021-10-01,Litoral,918376
2021-10-01,Norte,649545
2021-10-01,Patagonia,516201
2021-10-01,PBA - Partidos del GBA,78156
2021-10-01,PBA - Resto,1955960
2022-01-01,CABA,90982
2022-01-01,Córdoba,1367246
2022-01-01,Cuyo,873795
2022-01-01,Litoral,1604217
2022-01-01,Norte,1011309
2022-01-01,Patagonia,1380521
2022-01-01,PBA - Partidos del GBA,181087
2022-01-01,PBA - Resto,5879239
2022-04-01,CABA,180425
2022-04-01,Córdoba,699919
2022-04-01,Cuyo,464161
2022-04-01,Litoral,777669
2022-04-01,Norte,686864
2022-04-01,Patagonia,391256
2022-04-01,PBA - Partidos del GBA,190029
2022-04-01,PBA - Resto,1992590
2022-07-01,CABA,239915
2022-07-01,Córdoba,744806
2022-07-01,Cuyo,559127
2022-07-01,Litoral,1117003
2022-07-01,Norte,1024098
2022-07-01,Patagonia,477278
2022-07-01,PBA - Partidos del GBA,108457
2022-07-01,PBA - Resto,1855616
2022-10-01,CABA,403423
2022-10-01,Córdoba,1180999
2022-10-01,Cuyo,476674
2022-10-01,Litoral,1243663
2022-10-01,Norte,766712
2022-10-01,Patagonia,445389
2022-10-01,PBA - Partidos del GBA,947119
2022-10-01,PBA - Resto,1685679
2023-01-01,CABA,102253
2023-01-01,Córdoba,1361238
2023-01-01,Cuyo,505766
2023-01-01,Litoral,1829767
2023-01-01,Norte,942596
2023-01-01,Patagonia,1004465
2023-01-01,PBA - Partidos del GBA,163447
2023-01-01,PBA - Resto,5210294
